ResponseId;MainBranch;Age;Employment;RemoteWork;Country;Currency;CompTotal;DevType;YearsCode;YearsCodePro;LanguageHaveWorkedWith;LanguageWantToWorkWith;JobSat;YearsCodePro_num;CurrencyCode;ToUSD;Salary_USD
30789;I am a developer by profession;35-44 years old;Employed, full-time;Hybrid (some remote, some in-person);Canada;"CAD	Canadian dollar";140000.0;Developer, embedded applications or devices;18;13;C++;;;13.0;CAD;0.74;103600.0
31435;I am a developer by profession;45-54 years old;Independent contractor, freelancer, or self-employed;Remote;Czech Republic;"CZK	Czech koruna";1200000.0;Developer, desktop or enterprise applications;35;28;Delphi;;;28.0;CZK;0.044;52800.0
32028;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);United Kingdom of Great Britain and Northern Ireland;"GBP	Pound sterling";52000.0;Developer, embedded applications or devices;10;2;Bash/Shell (all shells);;;2.0;GBP;1.25;65000.0
32161;I am a developer by profession;25-34 years old;Employed, full-time;Remote;Italy;EUR European Euro;37000.0;Blockchain;10;7;Bash/Shell (all shells);;;7.0;EUR;1.08;39960.0
33159;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);United States of America;"USD	United States dollar";205000.0;Data engineer;9;7;JavaScript;;;7.0;USD;1.0;205000.0
33300;I am a developer by profession;35-44 years old;Employed, full-time;Hybrid (some remote, some in-person);United States of America;"USD	United States dollar";165000.0;Data scientist or machine learning specialist;11;10;Julia;;;10.0;USD;1.0;165000.0
34133;I am a developer by profession;25-34 years old;Employed, full-time;Remote;Argentina;"USD	United States dollar";18000.0;Cloud infrastructure engineer;7;3;Python;;;3.0;USD;1.0;18000.0
34304;I am not primarily a developer, but I write code sometimes as part of my work/studies;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);India;"INR	Indian rupee";500000.0;Security professional;10;5;C;;;5.0;INR;0.012;6000.0
34760;I am not primarily a developer, but I write code sometimes as part of my work/studies;35-44 years old;Employed, full-time;In-person;Germany;EUR European Euro;100000.0;Project manager;12;10;Perl;;;10.0;EUR;1.08;108000.0
35967;I am a developer by profession;18-24 years old;Employed, full-time;Remote;United States of America;"USD	United States dollar";102300.0;Developer, full-stack;5;1;JavaScript;;;1.0;USD;1.0;102300.0
36061;I am a developer by profession;25-34 years old;Employed, full-time;Remote;Ukraine;"USD	United States dollar";26000.0;Developer, back-end;3;2;Java;;;2.0;USD;1.0;26000.0
36063;I am a developer by profession;45-54 years old;Employed, full-time;Remote;United States of America;"USD	United States dollar";170000.0;Developer, desktop or enterprise applications;15;8;Python;Python;;8.0;USD;1.0;170000.0
36608;I am a developer by profession;35-44 years old;Employed, full-time;Remote;Canada;"CAD	Canadian dollar";230000.0;Developer, full-stack;20;15;Bash/Shell (all shells);;;15.0;CAD;0.74;170200.0
36821;I am a developer by profession;25-34 years old;Employed, full-time;Remote;United States of America;"USD	United States dollar";144000.0;Developer, back-end;10;6;Bash/Shell (all shells);;;6.0;USD;1.0;144000.0
37278;I am a developer by profession;25-34 years old;Employed, full-time;Remote;United States of America;"USD	United States dollar";110000.0;Developer, full-stack;12;6;Bash/Shell (all shells);;;6.0;USD;1.0;110000.0
37284;I am a developer by profession;25-34 years old;Employed, full-time;Remote;Thailand;"THB	Thai baht";1700000.0;Developer, front-end;8;7;Dart;;;7.0;THB;0.027;45900.0
37605;I am a developer by profession;35-44 years old;Employed, full-time;Hybrid (some remote, some in-person);Sweden;"SEK	Swedish krona";760000.0;Developer, back-end;5;5;Bash/Shell (all shells);;;5.0;SEK;0.095;72200.0
38187;I am a developer by profession;25-34 years old;Employed, full-time;In-person;Spain;EUR European Euro;21600.0;Developer, front-end;3;2;Go;;;2.0;EUR;1.08;23328.0
39137;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);United States of America;"USD	United States dollar";113000.0;Developer, embedded applications or devices;10;3;Bash/Shell (all shells);;;3.0;USD;1.0;113000.0
40299;I am a developer by profession;25-34 years old;Employed, full-time;In-person;Denmark;"DKK	Danish krone";540000.0;Developer, mobile;7;3;Bash/Shell (all shells);;;3.0;DKK;0.145;78300.0
40592;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);Italy;EUR European Euro;47000.0;Developer, front-end;10;3;HTML/CSS;;;3.0;EUR;1.08;50760.0
40769;I am a developer by profession;25-34 years old;Employed, full-time;In-person;India;"INR	Indian rupee";400000.0;Developer, full-stack;4;1;JavaScript;;;1.0;INR;0.012;4800.0
41594;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);United States of America;"USD	United States dollar";250000.0;Developer, back-end;8;4;C++;;;4.0;USD;1.0;250000.0
41759;I am not primarily a developer, but I write code sometimes as part of my work/studies;35-44 years old;Employed, full-time;In-person;India;"INR	Indian rupee";3500000.0;Project manager;10;10;C#;;;10.0;INR;0.012;42000.0
41794;I am a developer by profession;25-34 years old;Employed, full-time;In-person;Germany;EUR European Euro;65000.0;Developer, back-end;9;7;Go;;;7.0;EUR;1.08;70200.0
42054;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);Sweden;"SEK	Swedish krona";546000.0;Developer, front-end;9;5;JavaScript;;;5.0;SEK;0.095;51870.0
42073;I am a developer by profession;35-44 years old;Employed, full-time;Hybrid (some remote, some in-person);Czech Republic;"CZK	Czech koruna";1500000.0;Data engineer;20;15;Bash/Shell (all shells);;;15.0;CZK;0.044;66000.0
42186;I am a developer by profession;25-34 years old;Employed, full-time;Remote;United Kingdom of Great Britain and Northern Ireland;"GBP	Pound sterling";37500.0;Developer, full-stack;13;6;HTML/CSS;;;6.0;GBP;1.25;46875.0
42209;I am a developer by profession;18-24 years old;Employed, full-time;In-person;Poland;"PLN	Polish zloty";80000.0;Developer, full-stack;8;Less than 1 year;Visual Basic (.Net);C++;;0.0;PLN;0.26;20800.0
42830;I am a developer by profession;25-34 years old;Employed, full-time;Remote;Malaysia;"MYR	Malaysian ringgit";72000.0;Developer, full-stack;7;2;TypeScript;Go;;2.0;MYR;0.21;15120.0
43045;I am a developer by profession;45-54 years old;Employed, full-time;Hybrid (some remote, some in-person);Norway;"NOK	Norwegian krone";1000000.0;Developer, full-stack;40;26;C#;;;26.0;NOK;0.092;92000.0
43153;I am a developer by profession;25-34 years old;Employed, part-time;Hybrid (some remote, some in-person);Lithuania;EUR European Euro;21600.0;Developer, full-stack;3;3;HTML/CSS;;;3.0;EUR;1.08;23328.0
43475;I am a developer by profession;35-44 years old;Employed, full-time;Hybrid (some remote, some in-person);Portugal;EUR European Euro;70000.0;Developer, full-stack;13;10;;;;10.0;EUR;1.08;75600.0
43887;I am a developer by profession;25-34 years old;Employed, full-time;Remote;United States of America;"USD	United States dollar";147000.0;Data or business analyst;10;4;Python;;;4.0;USD;1.0;147000.0
44265;I am a developer by profession;25-34 years old;Employed, full-time;Remote;United States of America;"USD	United States dollar";211000.0;Developer, QA or test;10;8;Bash/Shell (all shells);;;8.0;USD;1.0;211000.0
45173;I am a developer by profession;35-44 years old;Employed, full-time;Remote;United States of America;"USD	United States dollar";107000.0;Developer, QA or test;8;7;HTML/CSS;;;7.0;USD;1.0;107000.0
45499;I am a developer by profession;25-34 years old;Employed, full-time;Remote;Spain;EUR European Euro;60000.0;Developer, game or graphics;10;5;C++;;;5.0;EUR;1.08;6.480.000.000.000.000
45616;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);Sweden;"SEK	Swedish krona";540000.0;Developer, back-end;5;2;Java;C;;2.0;SEK;0.095;51300.0
45882;I am a developer by profession;35-44 years old;Employed, full-time;Hybrid (some remote, some in-person);United States of America;"USD	United States dollar";400000.0;Developer, back-end;20;10;Go;;;10.0;USD;1.0;400000.0
46191;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);United States of America;"USD	United States dollar";140000.0;Developer, full-stack;6;2;C#;;;2.0;USD;1.0;140000.0
46284;I am a developer by profession;25-34 years old;Employed, full-time;In-person;Nigeria;"NGN	Nigerian naira";1000000.0;Blockchain;12;9;Ada;;;9.0;NGN;0.00062;620.0
46369;I am a developer by profession;25-34 years old;Employed, full-time;Remote;Poland;"PLN	Polish zloty";120000.0;Developer, game or graphics;13;5;C#;;;5.0;PLN;0.26;31200.0
46595;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);New Zealand;"NZD	New Zealand dollar";93000.0;Developer, full-stack;9;6;C#;;;6.0;NZD;0.6;55800.0
46952;I am a developer by profession;25-34 years old;Employed, full-time;In-person;France;EUR European Euro;46000.0;Developer, back-end;15;9;Assembly;;;9.0;EUR;1.08;49680.0
47063;I am not primarily a developer, but I write code sometimes as part of my work/studies;35-44 years old;Employed, full-time;In-person;Sweden;"SEK	Swedish krona";480000.0;Educator;5;2;;;;2.0;SEK;0.095;45600.0
48402;I am a developer by profession;25-34 years old;Independent contractor, freelancer, or self-employed;Remote;United States of America;"USD	United States dollar";691173839.0;Data or business analyst;1;16;;;10.0;16.0;USD;1.0;691173839.0
48546;I am a developer by profession;45-54 years old;Employed, full-time;Remote;Germany;EUR European Euro;100000.0;Developer, full-stack;35;25;Bash/Shell (all shells);;;25.0;EUR;1.08;108000.0
48779;I am a developer by profession;35-44 years old;Employed, full-time;In-person;Panama;"USD	United States dollar";24000.0;Developer, full-stack;14;14;C#;;;14.0;USD;1.0;24000.0
48830;I am a developer by profession;18-24 years old;Employed, full-time;Hybrid (some remote, some in-person);Portugal;EUR European Euro;20000.0;Developer, full-stack;7;1;;;;1.0;EUR;1.08;21600.0
49072;I am a developer by profession;18-24 years old;Employed, full-time;In-person;United Kingdom of Great Britain and Northern Ireland;"GBP	Pound sterling";35000.0;Developer, game or graphics;6;2;C++;;;2.0;GBP;1.25;43750.0
49149;I am a developer by profession;35-44 years old;Employed, full-time;Remote;France;EUR European Euro;380600.0;Developer, back-end;17;15;C;;;15.0;EUR;1.08;411048.0
49645;I am a developer by profession;25-34 years old;Employed, full-time;Remote;Canada;"CAD	Canadian dollar";180000.0;Developer, back-end;10;8;Ruby;;;8.0;CAD;0.74;133200.0
51846;I am a developer by profession;25-34 years old;Employed, full-time;Remote;Turkey;"TRY	Turkish lira";550000.0;Developer, full-stack;4;4;C#;;;4.0;TRY;0.03;16500.0
52100;I am a developer by profession;35-44 years old;Employed, full-time;Hybrid (some remote, some in-person);Switzerland;"CHF	Swiss franc";90000.0;Developer, front-end;7;7;HTML/CSS;;;7.0;CHF;1.1;9.900.000.000.000.000
52443;I am a developer by profession;35-44 years old;Employed, full-time;Hybrid (some remote, some in-person);Germany;EUR European Euro;125000.0;Engineering manager;14;20;TypeScript;TypeScript;;20.0;EUR;1.08;135000.0
52852;I am a developer by profession;35-44 years old;Employed, full-time;Hybrid (some remote, some in-person);Spain;EUR European Euro;36000.0;Developer, full-stack;10;10;C#;;;10.0;EUR;1.08;38880.0
52942;I am a developer by profession;18-24 years old;Employed, full-time;Remote;France;EUR European Euro;32000.0;Developer, full-stack;6;1;Bash/Shell (all shells);;;1.0;EUR;1.08;34560.0
55305;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);United States of America;"USD	United States dollar";240000.0;Developer, back-end;10;7;C++;;;7.0;USD;1.0;240000.0
55514;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);United States of America;"USD	United States dollar";540000.0;Cloud infrastructure engineer;17;8;Bash/Shell (all shells);;;8.0;USD;1.0;540000.0
57338;I am a developer by profession;25-34 years old;Employed, full-time;Remote;Germany;EUR European Euro;999999.0;Developer, full-stack;14;10;Bash/Shell (all shells);;;10.0;EUR;1.08;10.799.989.200.000.000
57358;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);Germany;EUR European Euro;83000.0;Developer, mobile;13;8;Objective-C;;;8.0;EUR;1.08;89640.0
57559;I am a developer by profession;55-64 years old;Employed, full-time;Hybrid (some remote, some in-person);United States of America;"USD	United States dollar";180000.0;Developer, embedded applications or devices;44;25;Assembly;;;25.0;USD;1.0;180000.0
57840;I am a developer by profession;18-24 years old;Employed, full-time;In-person;New Zealand;"NZD	New Zealand dollar";63344.0;Developer, front-end;5;2;C#;;;2.0;NZD;0.6;38006.4
59280;I am a developer by profession;25-34 years old;Employed, full-time;Remote;Bulgaria;"BGN	Bulgarian lev";94000.0;Developer, front-end;10;6;HTML/CSS;;;6.0;BGN;0.56;5.264.000.000.000.000
59415;I am a developer by profession;18-24 years old;Employed, full-time;In-person;Brazil;"BRL	Brazilian real";288000.0;Other (please specify):;1;Less than 1 year;;;;0.0;BRL;0.2;57600.0
59702;I am a developer by profession;35-44 years old;Employed, full-time;Remote;Brazil;"BRL	Brazilian real";104000.0;Other (please specify):;16;8;Python;;;8.0;BRL;0.2;20800.0
59941;I am a developer by profession;35-44 years old;Employed, full-time;Remote;United States of America;"USD	United States dollar";123456.0;Other (please specify):;15;9;;;;9.0;USD;1.0;123456.0
60332;I am not primarily a developer, but I write code sometimes as part of my work/studies;18-24 years old;Independent contractor, freelancer, or self-employed;Remote;Afghanistan;AED United Arab Emirates dirham;9347771924.0;Academic researcher;;13;Ada;;;13.0;AED;0.2723;25.453.982.949.052
60517;I am a developer by profession;35-44 years old;Employed, full-time;Hybrid (some remote, some in-person);Australia;"AUD	Australian dollar";150000.0;Developer, full-stack;27;20;C#;;;20.0;AUD;0.66;99000.0
60897;I am a developer by profession;35-44 years old;Employed, full-time;Remote;United Kingdom of Great Britain and Northern Ireland;"GBP	Pound sterling";68000.0;Developer, back-end;10;10;;;;10.0;GBP;1.25;85000.0
61143;I am a developer by profession;35-44 years old;Employed, full-time;Remote;United States of America;"USD	United States dollar";140000.0;Engineering manager;13;11;HTML/CSS;;;11.0;USD;1.0;140000.0
61767;I am a developer by profession;18-24 years old;Employed, full-time;In-person;India;"INR	Indian rupee";40000.0;Developer, full-stack;2;1;Dart;;;1.0;INR;0.012;480.0
63561;I am a developer by profession;35-44 years old;Employed, full-time;Remote;Serbia;"RSD	Serbian dinar";20000.0;Developer, full-stack;7;5;HTML/CSS;;;5.0;RSD;0.0092;184.0
64316;I am a developer by profession;18-24 years old;Employed, part-time;In-person;Algeria;"USD	United States dollar";200.0;Academic researcher;1;3;;;;3.0;USD;1.0;200.0
64683;I am a developer by profession;25-34 years old;Employed, full-time;Hybrid (some remote, some in-person);Spain;EUR European Euro;18000.0;Developer, back-end;2;1;;;;1.0;EUR;1.08;19440.0
